latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.21146,45.84472,299.19,0.56,0.43,2022-06-05,2320,N20,VIIRS,n,2.0NRT,287.89,0.43,N
43.31173,46.06775,305.75,0.57,0.43,2022-06-05,2320,N20,VIIRS,n,2.0NRT,289.49,0.59,N
43.43351,45.44919,300.79,0.53,0.42,2022-06-05,2320,N20,VIIRS,n,2.0NRT,288.55,0.58,N
44.91303,45.29137,313.03,0.49,0.4,2022-06-05,2320,N20,VIIRS,n,2.0NRT,288.82,10.35,N
44.91428,45.28535,333.95,0.49,0.4,2022-06-05,2320,N20,VIIRS,n,2.0NRT,292.54,23.15,N
45.00838,45.12921,302.45,0.48,0.4,2022-06-05,2320,N20,VIIRS,n,2.0NRT,289.99,0.6,N
42.00061,44.13316,334.63,0.41,0.61,2022-06-06,905,N20,VIIRS,n,2.0NRT,296.47,3.57,D
43.0759,45.76088,332.85,0.32,0.55,2022-06-06,905,N20,VIIRS,n,2.0NRT,298.58,2.55,D
43.28111,46.71444,333.99,0.57,0.52,2022-06-06,905,N20,VIIRS,n,2.0NRT,297.68,6.77,D
43.28254,46.71404,335.78,0.57,0.52,2022-06-06,905,N20,VIIRS,n,2.0NRT,296.83,4.59,D
43.43187,45.45319,330.45,0.32,0.55,2022-06-06,905,N20,VIIRS,l,2.0NRT,300.66,2.9,D
40.63728,43.95547,295.88,0.39,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,284.37,0.44,N
41.54588,45.03867,312.54,0.39,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,289.76,1.4,N
44.76556,45.20913,308.15,0.38,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,286.75,0.55,N
44.91424,45.28617,312.74,0.38,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,286.63,0.99,N
45.00795,45.12933,325.37,0.38,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,287.43,1.18,N
44.88224,44.41132,367,0.54,0.68,2022-06-07,845,N20,VIIRS,h,2.0NRT,296.48,14.09,D
44.888,44.4078,354.76,0.54,0.68,2022-06-07,845,N20,VIIRS,n,2.0NRT,295.55,8.36,D
44.89003,44.41412,367,0.54,0.68,2022-06-07,845,N20,VIIRS,h,2.0NRT,299.14,8.36,D
44.57058,45.52931,343.36,0.51,0.49,2022-06-07,1026,N20,VIIRS,n,2.0NRT,307.48,20.08,D
43.07635,45.75974,295.03,0.42,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,275.46,0.71,N
43.21236,45.84689,297.07,0.42,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,277.18,0.44,N
43.31134,46.07156,302.17,0.42,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,280.38,0.56,N
43.43308,45.4527,298.55,0.44,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,285.89,0.64,N
44.68794,45.80214,302.81,0.44,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,284.95,0.77,N
44.76392,45.20717,304.05,0.46,0.39,2022-06-07,2242,N20,VIIRS,n,2.0NRT,287.78,0.97,N
44.91543,45.28651,320.71,0.46,0.39,2022-06-07,2242,N20,VIIRS,n,2.0NRT,288.76,1.81,N
45.01112,45.13005,316.46,0.46,0.39,2022-06-07,2242,N20,VIIRS,n,2.0NRT,288.06,1.7,N
39.85547,44.73336,303.75,0.43,0.38,2022-06-07,2244,N20,VIIRS,n,2.0NRT,291.8,0.79,N
40.20214,44.30885,302.2,0.44,0.39,2022-06-07,2244,N20,VIIRS,n,2.0NRT,289.29,0.57,N
40.41655,44.6363,296.57,0.43,0.38,2022-06-07,2244,N20,VIIRS,n,2.0NRT,284.72,0.86,N
40.42301,44.66946,298,0.43,0.38,2022-06-07,2244,N20,VIIRS,n,2.0NRT,284.25,0.54,N
42.12322,43.01481,311.37,0.52,0.41,2022-06-07,2244,N20,VIIRS,n,2.0NRT,288.25,1.42,N
43.47023,45.28407,341.27,0.45,0.39,2022-06-08,1006,N20,VIIRS,n,2.0NRT,312.24,3.68,D
43.92678,43.10959,331.43,0.4,0.37,2022-06-08,1009,N20,VIIRS,n,2.0NRT,303.99,2.86,D
44.4341,43.88504,334.99,0.42,0.38,2022-06-08,1009,N20,VIIRS,l,2.0NRT,309.36,2.4,D
45.43102,43.39878,347.95,0.42,0.37,2022-06-08,1009,N20,VIIRS,n,2.0NRT,316.89,7.49,D
45.01134,45.12961,303.36,0.49,0.49,2022-06-08,2222,N20,VIIRS,n,2.0NRT,287.34,0.58,N
43.07818,45.75759,307.11,0.44,0.46,2022-06-08,2225,N20,VIIRS,n,2.0NRT,287.04,1.22,N
43.19709,46.29185,297.08,0.41,0.45,2022-06-08,2225,N20,VIIRS,n,2.0NRT,284.29,0.38,N
43.21089,45.84493,296.34,0.43,0.46,2022-06-08,2225,N20,VIIRS,n,2.0NRT,280.72,0.32,N
43.31103,46.06814,295.08,0.43,0.46,2022-06-08,2225,N20,VIIRS,n,2.0NRT,276.53,0.31,N
45.01056,45.1282,302.34,0.5,0.66,2022-06-09,3,N20,VIIRS,n,2.0NRT,278.44,1.1,N
43.20782,46.6027,330.13,0.38,0.36,2022-06-09,947,N20,VIIRS,n,2.0NRT,299.2,6.64,D
43.20852,46.6074,335.47,0.38,0.36,2022-06-09,947,N20,VIIRS,n,2.0NRT,299.16,6.64,D
43.8166,43.91739,347.25,0.4,0.37,2022-06-09,947,N20,VIIRS,n,2.0NRT,301.94,13.65,D
45.38894,43.31743,345.43,0.4,0.37,2022-06-09,947,N20,VIIRS,n,2.0NRT,311.57,2.83,D
39.02055,46.70197,310.79,0.63,0.54,2022-06-09,2205,N20,VIIRS,n,2.0NRT,285.75,3.05,N
39.02085,46.69913,311.38,0.63,0.54,2022-06-09,2205,N20,VIIRS,n,2.0NRT,285.65,2.32,N
39.0202,46.7037,296.4,0.53,0.67,2022-06-09,2346,N20,VIIRS,n,2.0NRT,282.89,0.68,N
39.01989,46.71075,341.24,0.53,0.42,2022-06-10,928,N20,VIIRS,n,2.0NRT,302.08,6.13,D
42.12286,43.0142,338.89,0.45,0.47,2022-06-10,928,N20,VIIRS,n,2.0NRT,300.87,5.08,D
43.38708,45.541,335.36,0.5,0.41,2022-06-10,928,N20,VIIRS,n,2.0NRT,303.12,1.34,D
45.47869,43.59299,338.73,0.54,0.42,2022-06-10,930,N20,VIIRS,n,2.0NRT,301.97,6.96,D
45.48013,43.5997,341.19,0.54,0.42,2022-06-10,930,N20,VIIRS,n,2.0NRT,305.47,6.96,D
43.07559,45.75406,299.59,0.67,0.73,2022-06-10,2146,N20,VIIRS,n,2.0NRT,283.19,1.26,N
43.07643,45.75497,311.67,0.67,0.73,2022-06-10,2146,N20,VIIRS,n,2.0NRT,284.87,2.42,N
42.12392,43.01234,304.09,0.52,0.41,2022-06-10,2326,N20,VIIRS,n,2.0NRT,288.23,1.3,N
43.31288,46.07016,295.49,0.44,0.46,2022-06-10,2326,N20,VIIRS,n,2.0NRT,271.29,0.62,N
44.91359,45.28477,314.61,0.57,0.43,2022-06-10,2326,N20,VIIRS,n,2.0NRT,275.92,1.63,N
45.00945,45.13144,300.39,0.56,0.43,2022-06-10,2326,N20,VIIRS,n,2.0NRT,286.65,0.74,N
45.00977,45.13007,305.35,0.56,0.43,2022-06-10,2326,N20,VIIRS,n,2.0NRT,286.76,1.19,N
