latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.00179,16.81709,331.48,0.32,0.55,2022-07-07,1104,N20,VIIRS,n,2.0NRT,296.77,1.34,D
41.21368,15.96507,342.7,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.73,4.6,D
41.21761,15.95902,332.46,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,296.81,8.39,D
41.21864,15.96286,367,0.35,0.57,2022-07-07,1104,N20,VIIRS,h,2.0NRT,299.71,13.03,D
41.22506,16.31211,333.07,0.33,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,299.4,1.76,D
41.36035,15.47949,331.25,0.36,0.58,2022-07-07,1104,N20,VIIRS,l,2.0NRT,302.48,4.07,D
41.36142,15.48349,345.36,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,303.47,7.28,D
41.36249,15.48749,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,303.67,7.28,D
41.36356,15.4915,331.83,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,304.08,5.99,D
41.36464,15.49549,347.89,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,304.69,5.99,D
41.36572,15.49952,333.5,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,304.24,5.34,D
41.36641,15.481,337.52,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.28,7.28,D
41.36748,15.48502,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,303.87,7.28,D
41.36856,15.48903,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,302.45,5.99,D
41.36963,15.49305,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,304.14,5.99,D
41.38895,15.91944,342.45,0.35,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.51,4.34,D
41.39112,15.91678,333.36,0.35,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.68,4.53,D
41.3942,15.92852,332.65,0.34,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,299.91,3.25,D
41.40296,15.93045,367,0.34,0.56,2022-07-07,1104,N20,VIIRS,h,2.0NRT,303.4,7.74,D
41.40401,15.93436,341.12,0.34,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.54,7.74,D
41.40738,15.69748,367,0.35,0.57,2022-07-07,1104,N20,VIIRS,h,2.0NRT,299.88,4.63,D
41.40844,15.70146,337.03,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,299.97,4.63,D
41.4095,15.76818,350.45,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.04,6.27,D
41.41127,15.75394,335.48,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,294.57,2.18,D
41.41339,15.76187,334.48,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,298.65,3.06,D
41.41444,15.76581,332.18,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.79,2.46,D
41.41752,15.83993,346.8,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.4,3.87,D
41.88769,15.31625,340.75,0.36,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,298.3,1.22,D
41.90715,15.28109,333.89,0.36,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,297.24,3.28,D
41.21379,15.96537,336.51,0.44,0.63,2022-07-07,1244,N20,VIIRS,n,2.0NRT,298.92,3.89,D
41.36937,15.4809,331.7,0.42,0.61,2022-07-07,1244,N20,VIIRS,n,2.0NRT,296.02,4.98,D
41.36958,15.48611,367,0.42,0.61,2022-07-07,1244,N20,VIIRS,h,2.0NRT,299.19,8.85,D
41.36979,15.49131,353.02,0.42,0.61,2022-07-07,1244,N20,VIIRS,n,2.0NRT,297.59,8.85,D
41.38414,15.56363,367,0.42,0.61,2022-07-07,1244,N20,VIIRS,h,2.0NRT,297.73,12.09,D
41.50718,15.70382,334.49,0.43,0.62,2022-07-07,1244,N20,VIIRS,n,2.0NRT,297.06,2.68,D
41.52043,15.50111,331.3,0.42,0.61,2022-07-07,1244,N20,VIIRS,n,2.0NRT,299.93,2.61,D
41.59924,15.70399,367,0.43,0.62,2022-07-07,1244,N20,VIIRS,h,2.0NRT,296.77,10.94,D
41.35998,15.80943,303.96,0.41,0.37,2022-07-08,102,N20,VIIRS,n,2.0NRT,289.11,0.53,N
41.52946,15.63297,303.87,0.4,0.37,2022-07-08,102,N20,VIIRS,n,2.0NRT,289.37,0.51,N
41.05353,15.7101,304.92,0.41,0.37,2022-07-09,43,N20,VIIRS,n,2.0NRT,287.08,0.43,N
41.19183,15.51947,334.92,0.44,0.38,2022-07-09,1206,N20,VIIRS,n,2.0NRT,302.86,13.53,D
41.19247,15.5247,344.27,0.44,0.38,2022-07-09,1206,N20,VIIRS,n,2.0NRT,310.71,13.53,D
41.34949,15.82013,345.25,0.45,0.39,2022-07-09,1206,N20,VIIRS,n,2.0NRT,303.79,4.26,D
41.3513,15.82226,340.83,0.45,0.39,2022-07-09,1206,N20,VIIRS,n,2.0NRT,304.48,7.86,D
41.35305,15.8194,331.23,0.45,0.39,2022-07-09,1206,N20,VIIRS,n,2.0NRT,302.42,4.26,D
41.58358,15.7278,340.96,0.45,0.39,2022-07-09,1206,N20,VIIRS,n,2.0NRT,307.11,7.15,D
41.27756,16.08152,299.37,0.4,0.44,2022-07-10,24,N20,VIIRS,n,2.0NRT,287.54,0.3,N
41.37607,15.39288,332.98,0.43,0.46,2022-07-10,24,N20,VIIRS,n,2.0NRT,290.23,7.26,N
41.37655,15.38771,309.61,0.43,0.46,2022-07-10,24,N20,VIIRS,n,2.0NRT,285.76,7.26,N
41.4344,15.95351,306.29,0.41,0.45,2022-07-10,24,N20,VIIRS,n,2.0NRT,288.51,0.89,N
41.43487,15.94863,303.02,0.41,0.45,2022-07-10,24,N20,VIIRS,n,2.0NRT,287.95,0.66,N
41.4426,15.9549,303.24,0.41,0.45,2022-07-10,24,N20,VIIRS,n,2.0NRT,288.17,1.26,N
41.15773,16.60962,308.71,0.78,0.78,2022-07-10,204,N20,VIIRS,n,2.0NRT,285.91,1.86,N
41.15841,16.6154,308.53,0.78,0.78,2022-07-10,204,N20,VIIRS,n,2.0NRT,286.28,2.47,N
41.37627,15.38592,323.88,0.67,0.74,2022-07-10,204,N20,VIIRS,n,2.0NRT,284.64,5.08,N
41.37698,15.3945,309.12,0.67,0.74,2022-07-10,204,N20,VIIRS,n,2.0NRT,285.16,3.44,N
41.37941,15.38713,313.74,0.67,0.74,2022-07-10,204,N20,VIIRS,n,2.0NRT,284.19,3.23,N
41.23826,16.0256,330.61,0.39,0.36,2022-07-10,1149,N20,VIIRS,l,2.0NRT,303.9,0.89,D
41.37829,15.39137,315.68,0.38,0.59,2022-07-11,5,N20,VIIRS,n,2.0NRT,287.22,1.31,N
41.37971,15.38955,319.2,0.38,0.59,2022-07-11,5,N20,VIIRS,n,2.0NRT,286.76,1.34,N
41.4082,15.70286,304.79,0.37,0.58,2022-07-11,5,N20,VIIRS,n,2.0NRT,286.92,0.55,N
41.3749,15.38916,306.25,0.4,0.6,2022-07-11,145,N20,VIIRS,n,2.0NRT,285.07,0.72,N
41.15426,15.5947,339.85,0.54,0.42,2022-07-11,1128,N20,VIIRS,n,2.0NRT,304.94,6.92,D
41.18332,15.57867,337.18,0.54,0.42,2022-07-11,1128,N20,VIIRS,l,2.0NRT,308.67,7.3,D
41.18457,15.58474,349.02,0.54,0.42,2022-07-11,1128,N20,VIIRS,n,2.0NRT,310.97,7.3,D
41.55574,15.25266,338.23,0.55,0.43,2022-07-11,1128,N20,VIIRS,l,2.0NRT,308.64,6.73,D
41.63575,15.61967,347.74,0.53,0.42,2022-07-11,1128,N20,VIIRS,n,2.0NRT,306.69,11.38,D
41.16808,15.81293,296.38,0.64,0.72,2022-07-11,2346,N20,VIIRS,n,2.0NRT,284.7,1.69,N
41.17074,15.81294,295.96,0.64,0.72,2022-07-11,2346,N20,VIIRS,n,2.0NRT,285.25,2.09,N
41.82079,15.29132,315.85,0.69,0.74,2022-07-11,2346,N20,VIIRS,n,2.0NRT,285.15,3.56,N
41.82102,15.29181,316.28,0.69,0.74,2022-07-11,2346,N20,VIIRS,n,2.0NRT,285.37,3.56,N
41.82112,15.29084,337.43,0.45,0.47,2022-07-12,126,N20,VIIRS,n,2.0NRT,288.62,5.32,N
41.87818,15.06226,298.52,0.43,0.46,2022-07-12,126,N20,VIIRS,n,2.0NRT,287.87,0.25,N
41.39505,15.26705,337.02,0.62,0.54,2022-07-12,1110,N20,VIIRS,n,2.0NRT,300.49,12.27,D
41.39678,15.27388,367,0.62,0.54,2022-07-12,1110,N20,VIIRS,h,2.0NRT,302.77,12.27,D
41.39854,15.28078,350.84,0.62,0.54,2022-07-12,1110,N20,VIIRS,n,2.0NRT,302.48,15.21,D
41.40792,15.9694,331.19,0.57,0.52,2022-07-12,1110,N20,VIIRS,l,2.0NRT,301.88,5.36,D
41.45414,15.35574,343.09,0.61,0.54,2022-07-12,1110,N20,VIIRS,n,2.0NRT,302.6,8.31,D
41.45653,15.35433,341.58,0.61,0.54,2022-07-12,1110,N20,VIIRS,n,2.0NRT,300.82,4.56,D
41.46243,15.51287,342.22,0.6,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,300.69,9.48,D
41.5833,15.52613,334.17,0.6,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,299.23,3.81,D
41.58519,15.61578,334.54,0.59,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,302.37,2.52,D
41.58554,15.51783,340.73,0.6,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,300.45,6.66,D
41.58728,15.52462,334.97,0.6,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,297.24,6.66,D
41.58794,15.52405,337,0.6,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,297.87,3.81,D
41.63536,15.51062,333.11,0.6,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,300.51,4.43,D
41.71301,15.35305,333.53,0.6,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,301.02,4.4,D
41.76251,15.24775,346.69,0.61,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,299.44,10.73,D
41.76404,15.24647,342.31,0.61,0.53,2022-07-12,1110,N20,VIIRS,n,2.0NRT,299.69,9.34,D
41.08387,16.15554,335.74,0.55,0.68,2022-07-12,1251,N20,VIIRS,n,2.0NRT,299.74,5.48,D
41.08403,16.16221,338.06,0.55,0.68,2022-07-12,1251,N20,VIIRS,n,2.0NRT,297.53,5.48,D
41.08514,16.83345,367,0.6,0.7,2022-07-12,1251,N20,VIIRS,h,2.0NRT,295.73,9.29,D
41.08583,16.83267,351.85,0.6,0.7,2022-07-12,1251,N20,VIIRS,n,2.0NRT,295.07,11.3,D
