latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
40.26543,44.65096,330.72,0.44,0.62,2022-07-08,905,N20,VIIRS,l,2.0NRT,305.05,1.61,D
41.61326,46.05951,355.19,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,299.29,7.7,D
41.61429,46.06336,355.48,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,297.63,7.7,D
41.81871,45.91943,352.71,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,300.14,12.27,D
41.81975,45.92333,354.13,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,299.38,12.27,D
41.82079,45.92724,351.87,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,294.51,12.43,D
41.82361,45.91717,349.78,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,299.07,12.27,D
41.82465,45.92108,367,0.34,0.56,2022-07-08,905,N20,VIIRS,h,2.0NRT,298.42,12.27,D
43.22985,46.76033,331.37,0.57,0.52,2022-07-08,905,N20,VIIRS,n,2.0NRT,299.71,4.68,D
43.23071,46.75909,335.01,0.57,0.52,2022-07-08,905,N20,VIIRS,n,2.0NRT,300.47,5.64,D
43.79219,44.73619,332.5,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,300.99,2.04,D
43.79328,44.7402,342.24,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,302.12,4.54,D
43.79437,44.7442,341.37,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,303.66,4.54,D
43.79546,44.74821,336,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,305,3.34,D
43.79597,44.72968,332.96,0.34,0.56,2022-07-08,905,N20,VIIRS,l,2.0NRT,303.64,2.04,D
43.79655,44.75223,335.2,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,304.45,3.34,D
43.79706,44.73368,335.95,0.34,0.56,2022-07-08,905,N20,VIIRS,n,2.0NRT,304.51,2.04,D
44.20438,45.18029,343.13,0.32,0.54,2022-07-08,905,N20,VIIRS,n,2.0NRT,307.45,13.59,D
44.20589,45.18594,348.09,0.64,0.54,2022-07-08,905,N20,VIIRS,n,2.0NRT,304.3,5.41,D
44.20911,45.17788,354.24,0.32,0.54,2022-07-08,905,N20,VIIRS,n,2.0NRT,305.29,24.71,D
45.28958,43.07055,348.4,0.37,0.58,2022-07-08,905,N20,VIIRS,n,2.0NRT,305.6,4.89,D
45.29081,43.07492,337.59,0.37,0.58,2022-07-08,905,N20,VIIRS,n,2.0NRT,306.37,3.69,D
45.29205,43.07927,342.95,0.37,0.58,2022-07-08,905,N20,VIIRS,n,2.0NRT,305.22,3.69,D
45.29328,43.08363,333.54,0.37,0.58,2022-07-08,905,N20,VIIRS,l,2.0NRT,305.02,4.55,D
45.29453,43.06762,334.61,0.37,0.58,2022-07-08,905,N20,VIIRS,n,2.0NRT,302.44,2.35,D
45.297,43.07636,343.99,0.37,0.58,2022-07-08,905,N20,VIIRS,n,2.0NRT,303.39,3.79,D
43.57108,46.76232,349.25,0.5,0.66,2022-07-08,1043,N20,VIIRS,n,2.0NRT,297.07,7.29,D
43.78801,44.74166,345.01,0.39,0.6,2022-07-08,1043,N20,VIIRS,n,2.0NRT,298.53,4.41,D
43.79316,44.73136,338.79,0.39,0.6,2022-07-08,1043,N20,VIIRS,n,2.0NRT,301.87,80.15,D
43.79354,44.74131,355.59,0.39,0.6,2022-07-08,1043,N20,VIIRS,n,2.0NRT,311.51,53.79,D
43.79372,44.74629,344.41,0.39,0.6,2022-07-08,1043,N20,VIIRS,n,2.0NRT,301.88,53.79,D
43.79391,44.75126,339.03,0.39,0.6,2022-07-08,1043,N20,VIIRS,n,2.0NRT,301.47,6.55,D
44.2055,45.1777,335.67,0.42,0.61,2022-07-08,1043,N20,VIIRS,l,2.0NRT,305.78,3.36,D
44.20567,45.18299,334.24,0.42,0.61,2022-07-08,1043,N20,VIIRS,l,2.0NRT,306.5,3.36,D
44.20849,45.17896,340.5,0.42,0.61,2022-07-08,1043,N20,VIIRS,n,2.0NRT,306.74,7.05,D
44.20869,45.18425,350.72,0.42,0.61,2022-07-08,1043,N20,VIIRS,n,2.0NRT,306.62,8.16,D
44.21116,45.17736,344.02,0.42,0.61,2022-07-08,1043,N20,VIIRS,n,2.0NRT,305.61,3.36,D
44.21133,45.18266,349.13,0.42,0.61,2022-07-08,1043,N20,VIIRS,n,2.0NRT,304.35,3.36,D
45.35403,44.42136,333.68,0.39,0.59,2022-07-08,1043,N20,VIIRS,l,2.0NRT,306.33,2.72,D
44.22007,45.18214,313.34,0.39,0.36,2022-07-08,2259,N20,VIIRS,n,2.0NRT,289.09,0.82,N
44.22084,45.17739,300.42,0.39,0.36,2022-07-08,2259,N20,VIIRS,n,2.0NRT,289.21,0.82,N
44.22676,45.20425,300.27,0.39,0.36,2022-07-08,2259,N20,VIIRS,n,2.0NRT,288.49,0.33,N
44.77286,44.12319,298.98,0.39,0.36,2022-07-08,2259,N20,VIIRS,n,2.0NRT,283.28,0.97,N
44.91228,45.28855,310.18,0.38,0.36,2022-07-08,2259,N20,VIIRS,n,2.0NRT,291.28,0.56,N
45.00965,45.12968,306.03,0.38,0.36,2022-07-08,2259,N20,VIIRS,n,2.0NRT,290.35,0.64,N
45.5366,43.06215,331.57,0.4,0.37,2022-07-08,2259,N20,VIIRS,n,2.0NRT,290.77,2.24,N
39.85561,44.73348,307.36,0.4,0.37,2022-07-08,2301,N20,VIIRS,n,2.0NRT,292.61,1.05,N
39.99798,43.94669,304.64,0.39,0.36,2022-07-08,2301,N20,VIIRS,n,2.0NRT,288.96,0.55,N
43.21264,45.84695,301.5,0.4,0.37,2022-07-08,2301,N20,VIIRS,n,2.0NRT,283.61,0.51,N
43.31201,46.06851,305.06,0.4,0.37,2022-07-08,2301,N20,VIIRS,n,2.0NRT,273.7,1.4,N
40.04372,44.42091,330.08,0.78,0.78,2022-07-09,843,N20,VIIRS,n,2.0NRT,297.24,5.75,D
40.16959,44.23623,344.14,0.39,0.44,2022-07-09,1024,N20,VIIRS,n,2.0NRT,311.03,3.91,D
43.16682,44.39582,339.61,0.43,0.46,2022-07-09,1026,N20,VIIRS,n,2.0NRT,294.75,2.34,D
43.5346,44.25576,338.82,0.43,0.46,2022-07-09,1026,N20,VIIRS,n,2.0NRT,303.38,2.88,D
44.22913,45.20889,339.34,0.48,0.48,2022-07-09,1026,N20,VIIRS,n,2.0NRT,308.41,2.69,D
44.23359,45.20827,338.74,0.48,0.48,2022-07-09,1026,N20,VIIRS,l,2.0NRT,309.13,2.69,D
40.68551,46.6788,306.63,0.39,0.36,2022-07-09,2242,N20,VIIRS,n,2.0NRT,290.5,0.74,N
42.11536,43.01912,302.93,0.52,0.42,2022-07-09,2242,N20,VIIRS,n,2.0NRT,290.5,0.99,N
43.0769,45.75634,304.42,0.43,0.38,2022-07-09,2242,N20,VIIRS,n,2.0NRT,290.93,0.75,N
43.30933,46.07182,302.37,0.42,0.38,2022-07-09,2242,N20,VIIRS,n,2.0NRT,288.9,0.65,N
43.43689,45.44832,302.58,0.44,0.38,2022-07-09,2242,N20,VIIRS,n,2.0NRT,289.7,0.58,N
44.91225,45.28858,308.93,0.46,0.39,2022-07-09,2242,N20,VIIRS,n,2.0NRT,290.86,0.98,N
45.00984,45.1274,308.69,0.46,0.39,2022-07-09,2242,N20,VIIRS,n,2.0NRT,290.66,0.78,N
40.56287,43.01986,334.01,0.39,0.36,2022-07-10,1006,N20,VIIRS,l,2.0NRT,308.53,2.72,D
41.55488,45.8137,346.61,0.45,0.39,2022-07-10,1006,N20,VIIRS,n,2.0NRT,307.88,16.64,D
41.55551,45.81908,346.3,0.45,0.39,2022-07-10,1006,N20,VIIRS,n,2.0NRT,309.95,4.64,D
41.55842,45.81292,355.96,0.45,0.39,2022-07-10,1006,N20,VIIRS,n,2.0NRT,310.64,16.64,D
41.55905,45.8183,342.84,0.45,0.39,2022-07-10,1006,N20,VIIRS,n,2.0NRT,307.18,4.64,D
41.83052,44.86337,336.14,0.42,0.38,2022-07-10,1006,N20,VIIRS,n,2.0NRT,304.2,2.32,D
43.43271,45.45286,338.86,0.46,0.39,2022-07-10,1006,N20,VIIRS,l,2.0NRT,312.22,5.79,D
43.53038,43.49739,340.06,0.4,0.37,2022-07-10,1006,N20,VIIRS,n,2.0NRT,304.32,5.69,D
43.53878,43.85642,340.39,0.41,0.37,2022-07-10,1006,N20,VIIRS,l,2.0NRT,312.93,9.03,D
